Chief Complaint
??
?? ??
?? ???
?? ??? ??
???
??? ? ???
??? ??
??? ??? ??
????
abd pain
abd. distension
abd. pain
abdomen discomfort
abdomen distension
abdomen pain
abdominal pain (finding)
"abdominal pain, luq"
"abdominal pain, periumbilical area"
"abdominal pain, rt"
abnormal lab.
"abnormality, visual acuity"
acute delirium
acute dyspnea
acute epigastric pain
alcohol smell
"alcohol smelling state, drunken state"
altered mental change
altered mentality
amnesia
anal bleeding
anemia w/u
ankle injury
ankle pain
ant. chest pain
anterior chest discomfort
anxiety
"aphasia, motor"
arm injury
arm pain
"arm pain, lt"
"arm pain, rt"
arrest
ascites tapping
avf malfunction
avf site bleeding
backache
bee sting
behavior change
"bleeding, gingival"
"bleeding, knee"
"blood pressure, low"
blood tinged sputum
blurred vision
both eye pain
both eyelid swelling
both hand numbness
both leg  motor weakness
both leg cellulitis
both leg pain
both ocular pain
both shoulder pain
both wrist pain
bst high
"burn, arm"
"burn, face"
"burn, hand"
buttock pain
c - coughing
catheter removal
cerebral concussion
chemical burn
chest discomfort
chest discomfort left
chest pain nos (finding)
chest pain rt
chest palpitation
chest wall pain left
chest wall pain right
chin pain
chin swelling
coccygeal pain
cold
confuse mentality
confused mental status
confusion mentality
confusion state
convulsion
copy
cough
ct film copy
d - diarrhea
decerased visual acuity
decreased activity
delusional idea
dental problem
depression
desaturation
"di, drug intoxication"
diarrhea
difficulty in voiding
diffuse abdominal discomfort
diffuse abdominal pain
diffuse chest discomfort
"discomfort, chest"
"discomfort, throat"
dislocation of jaw
distended abdomen
"distension, abd"
dizziness
drowsy mentality
drug allergy
drug intoxication
dysarthria
dyspnea
dysuria
dz - dizziness
ear pain lt
"eczema, eyelid"
"edema, cheek"
elbow injury
elbow painful swelling
elbow painful swelling lt.
epigastric discomfort(+)
epigastric pain
epistaxis
"erection, penile"
erythematous papule
eye discomfort
eye foreign body
eye injury
eye pain left eye
eye trauma
eyebrow laceration
eyelid laceration
"f/c, c/s"
f/c-fever/chills
face laceration
facial injury
facial lesion
facial painful swelling
facial palsy
facial palsy left
fb in esophagus
fb in eye
fb in pharynx
femur lesion
fever
fever & chill
"fever, unspecified"
finger injury
finger lac.
finger laceration
finger laceration wound
finger pain
"flank pain, rt."
foot injury
foot swelling
for  iv injection
for a/tapping
for ascites tapping
for examination
for l-tube insertion
for medication
for peg tube change
forehead laceration
foreign body in throat
foreign body ingestion
foreign body sensation in neck
foreign body sensation in throat
foreign body sense
free voiding
g/w-general weakness
general ache
general weakness
generalized abdominal pain
generalized urticaria
gingival bleeding
gingival swelling
h-headache
ha
ha - headache
hallucination
hand injury
hand laceration
hand tingling sense
head injury
head pain
head trauma
headache
hematemesis
hematochezia
hematuria
hemoptysis
hiccup
high bsl
hip joint pain
hip pain lt.
hyperkalemia (disorder)
hypertension
hyperventilation
hypoglycemic
hypoglycemic symptom
"injury, ankle"
"injury, finger"
"injury, leg"
involuntary movt.
itching
itching sensation
knee injury
knee pain
l side weakness
"laceration, chin"
"laceration, scalp"
lbp - low back pain
left chest pain
left diplopia
left eye pain
left eye swelling
left eyelid laceration
left facial numbness
left forearm pain
left knee swelling
left leg pain
left motor weakness
left side motor weakness
